Description,PromoCode,DistributorLegacyNumber,OrderHeaderLegacyNumber,CreatedDate
PlanDeLealtadDIB,PlanDeLealtadDIB,1706905,437156222158,Mon Jun 01 2020 10:23:36 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1440246,437157102149,Mon Jun 01 2020 10:24:02 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,20092,43715831554,Mon Jun 01 2020 10:25:28 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706900,437159222153,Mon Jun 01 2020 10:32:16 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1425745,43716178445,Mon Jun 01 2020 10:33:43 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1701324,437160208907,Mon Jun 01 2020 10:35:26 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1606196,437162158162,Mon Jun 01 2020 10:36:44 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1421006,43716363184,Mon Jun 01 2020 10:37:27 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706663,437164221807,Mon Jun 01 2020 10:40:27 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707560,437165224950,Mon Jun 01 2020 10:54:47 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1592244,437166131779,Mon Jun 01 2020 10:59:23 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1702541,437167213801,Mon Jun 01 2020 11:02:22 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1333645,437168156836,Mon Jun 01 2020 11:04:27 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,27898,43716934931,Mon Jun 01 2020 11:05:11 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1702869,437170214129,Mon Jun 01 2020 11:16:23 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1292932,43717197890,Mon Jun 01 2020 11:19:44 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1310230,437172116485,Mon Jun 01 2020 11:20:18 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1282597,43717391821,Mon Jun 01 2020 11:20:32 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1701324,437174208907,Mon Jun 01 2020 11:21:40 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1605074,437175155606,Mon Jun 01 2020 11:23:42 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1602946,437176152448,Mon Jun 01 2020 11:25:08 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1420064,43717772204,Mon Jun 01 2020 11:27:32 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1370317,437178196766,Mon Jun 01 2020 11:30:38 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1603172,437179153028,Mon Jun 01 2020 11:32:12 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1706444,437180221586,Mon Jun 01 2020 11:33:52 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1437274,437181100792,Mon Jun 01 2020 11:34:32 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1706189,437182221330,Mon Jun 01 2020 11:36:09 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1432927,43718387403,Mon Jun 01 2020 11:36:43 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1611679,437184170312,Mon Jun 01 2020 11:38:21 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1705214,437185218305,Mon Jun 01 2020 11:42:54 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707451,437186224841,Mon Jun 01 2020 11:44:13 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1610319,437187161972,Mon Jun 01 2020 11:46:08 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1275596,43718882577,Mon Jun 01 2020 11:48:48 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707331,437189224491,Mon Jun 01 2020 11:49:31 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1700703,437190208188,Mon Jun 01 2020 11:52:27 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1590392,437191122749,Mon Jun 01 2020 11:54:09 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703568,437192214828,Mon Jun 01 2020 11:55:55 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,20393,43719331595,Mon Jun 01 2020 11:56:10 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1704829,437194217920,Mon Jun 01 2020 12:01:10 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1707336,437195224496,Mon Jun 01 2020 12:01:59 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703886,437196215146,Mon Jun 01 2020 12:02:09 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1449846,437197130709,Mon Jun 01 2020 12:08:46 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1603512,437198153319,Mon Jun 01 2020 12:08:57 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1408900,43719951392,Mon Jun 01 2020 12:09:53 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707189,437200222445,Mon Jun 01 2020 12:12:08 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1434529,43720196069,Mon Jun 01 2020 12:19:30 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1701151,437202208660,Mon Jun 01 2020 12:22:15 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1701177,437203208750,Mon Jun 01 2020 12:22:29 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1315929,437205125047,Mon Jun 01 2020 12:26:20 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1412415,43720646983,Mon Jun 01 2020 12:27:26 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1413409,43720754411,Mon Jun 01 2020 12:28:34 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706141,437208221282,Mon Jun 01 2020 12:28:44 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1608761,437209168818,Mon Jun 01 2020 12:32:06 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703413,437210214673,Mon Jun 01 2020 12:33:46 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1606435,437211158767,Mon Jun 01 2020 12:33:46 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1448936,437213128740,Mon Jun 01 2020 12:34:38 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1430588,43721682991,Mon Jun 01 2020 12:45:27 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706405,437217221547,Mon Jun 01 2020 12:47:04 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706278,437218221419,Mon Jun 01 2020 12:50:21 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1595557,437219137605,Mon Jun 01 2020 12:50:40 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1396116,43722026086,Mon Jun 01 2020 12:55:16 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703269,437222214529,Mon Jun 01 2020 12:59:00 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1600676,437221142292,Mon Jun 01 2020 12:59:23 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707320,437223224480,Mon Jun 01 2020 13:02:22 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1702211,437224213471,Mon Jun 01 2020 13:05:01 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703455,437225214715,Mon Jun 01 2020 13:07:10 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1440681,437226102928,Mon Jun 01 2020 13:07:58 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1616788,437227185733,Mon Jun 01 2020 13:08:16 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1591617,437228130810,Mon Jun 01 2020 13:08:50 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1616703,437229185280,Mon Jun 01 2020 13:10:09 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707383,437230224773,Mon Jun 01 2020 13:10:26 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1705866,437231218957,Mon Jun 01 2020 13:10:53 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1341266,437232169365,Mon Jun 01 2020 13:11:58 GMT-0500 (GMT-05:00)
,PlanDeLealtadPisa ,104496,43723341074,Mon Jun 01 2020 13:15:41 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1611993,437234170994,Mon Jun 01 2020 13:16:42 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,30342,43723533864,Mon Jun 01 2020 13:17:22 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1613821,437236164407,Mon Jun 01 2020 13:20:40 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1611993,437237170994,Mon Jun 01 2020 13:21:15 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703252,437238214512,Mon Jun 01 2020 13:22:17 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1705532,437239218623,Mon Jun 01 2020 13:22:24 GMT-0500 (GMT-05:00)
,PlanDeLealtadBL,411674,43724065596,Mon Jun 01 2020 13:24:26 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1705532,437241218623,Mon Jun 01 2020 13:26:44 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,23032,43724232058,Mon Jun 01 2020 13:26:51 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,47665,43724348974,Mon Jun 01 2020 13:28:43 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1608281,437244167979,Mon Jun 01 2020 13:36:54 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1590980,437245123667,Mon Jun 01 2020 13:37:07 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1280714,43724690466,Mon Jun 01 2020 13:38:49 GMT-0500 (GMT-05:00)
PlanDeLealtadCP,PlanDeLealtadCP,1706481,437247221624,Mon Jun 01 2020 13:42:28 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1600043,437248141343,Mon Jun 01 2020 13:53:01 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1430087,43724992129,Mon Jun 01 2020 13:55:44 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1343648,437251173508,Mon Jun 01 2020 13:59:03 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1590829,437252123525,Mon Jun 01 2020 14:00:06 GMT-0500 (GMT-05:00)
,PlanDeLealtadPisa ,415345,437253219397,Mon Jun 01 2020 14:02:32 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1342086,437254170789,Mon Jun 01 2020 14:06:21 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1701983,437250213243,Mon Jun 01 2020 14:06:27 GMT-0500 (GMT-05:00)
,PlanDeLealtadBL,1500041,437255122069,Mon Jun 01 2020 14:07:08 GMT-0500 (GMT-05:00)
,PlanDeLealtadBL,416168,437256224371,Mon Jun 01 2020 14:08:23 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1442309,437257105821,Mon Jun 01 2020 14:09:00 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703114,437258214374,Mon Jun 01 2020 14:10:43 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707160,437259222416,Mon Jun 01 2020 14:12:22 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1613897,437260164481,Mon Jun 01 2020 14:15:49 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,32458,43726136365,Mon Jun 01 2020 14:16:02 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,18412,43726232874,Mon Jun 01 2020 14:17:03 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1440374,437263102271,Mon Jun 01 2020 14:18:23 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1425827,43726467826,Mon Jun 01 2020 14:22:24 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707570,437265224960,Mon Jun 01 2020 14:22:35 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1445231,437266106714,Mon Jun 01 2020 14:22:45 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706925,437267222178,Mon Jun 01 2020 14:28:37 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1436483,43726899284,Mon Jun 01 2020 14:31:08 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1598913,437269149399,Mon Jun 01 2020 14:32:03 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1369162,437270195811,Mon Jun 01 2020 14:33:01 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1603698,437271153848,Mon Jun 01 2020 14:33:57 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1445817,437272117065,Mon Jun 01 2020 14:34:55 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1596148,437274138884,Mon Jun 01 2020 14:38:14 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1607442,437275166033,Mon Jun 01 2020 14:39:33 GMT-0500 (GMT-05:00)
,PlanDeLealtadPisa ,412780,43727667092,Mon Jun 01 2020 14:42:14 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1617989,437277187492,Mon Jun 01 2020 14:43:33 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1607940,437278167269,Mon Jun 01 2020 14:43:36 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1706181,437279221322,Mon Jun 01 2020 14:45:19 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1442172,437280105324,Mon Jun 01 2020 14:48:56 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1592041,437281131585,Mon Jun 01 2020 14:49:33 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1332954,437282155916,Mon Jun 01 2020 14:49:55 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1388832,43728420780,Mon Jun 01 2020 15:01:19 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1612691,437285172427,Mon Jun 01 2020 15:02:31 GMT-0500 (GMT-05:00)
,PlanDeLealtadPisa ,404587,43728671877,Mon Jun 01 2020 15:03:04 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1388833,43728720781,Mon Jun 01 2020 15:03:40 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1605957,437289157937,Mon Jun 01 2020 15:14:19 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,25804,43729033524,Mon Jun 01 2020 15:15:04 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1334481,437291157840,Mon Jun 01 2020 15:16:15 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1617308,437292186621,Mon Jun 01 2020 15:16:59 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1700962,437293208447,Mon Jun 01 2020 15:20:09 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,35038,43729435408,Mon Jun 01 2020 15:20:27 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1609443,437295159995,Mon Jun 01 2020 15:23:57 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1330705,437296152885,Mon Jun 01 2020 15:32:10 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1609443,437297159995,Mon Jun 01 2020 15:33:13 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,65303,43729850091,Mon Jun 01 2020 15:36:34 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1426868,43729979977,Mon Jun 01 2020 15:37:53 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1613408,437301163627,Mon Jun 01 2020 15:44:43 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1375551,437302204398,Mon Jun 01 2020 15:44:57 GMT-0500 (GMT-05:00)
,PlanDeLealtadPisa ,402741,43730371218,Mon Jun 01 2020 15:47:33 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1613668,437305163885,Mon Jun 01 2020 15:51:48 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1287061,43730686206,Mon Jun 01 2020 15:53:31 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1703973,437307215233,Mon Jun 01 2020 16:09:14 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1612798,437309172532,Mon Jun 01 2020 16:14:55 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1418334,43731058715,Mon Jun 01 2020 16:16:44 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1707290,437311224450,Mon Jun 01 2020 16:16:44 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1590980,437308123667,Mon Jun 01 2020 16:18:11 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1611773,437312170406,Mon Jun 01 2020 16:19:52 GMT-0500 (GMT-05:00)
PlanDeLealtadDIB,PlanDeLealtadDIB,1309517,437313119973,Mon Jun 01 2020 16:20:11 GMT-0500 (GMT-05:00)
